code,name,name_ascii,state
QDT,Dalton,Dalton,MA
DT8,Dalton,Dalton,MN
DN4,Dalton,Dalton,NH
QDL,Dalton,Dalton,OH
DPQ,Dalton,Dalton,PA
DK9,Dalton City,Dalton City,IL
DTG,Dalton Gardens,Dalton Gardens,ID
DXL,Daly City,Daly City,CA
DZL,Dalzell,Dalzell,SC
D8A,Damariscotta,Damariscotta,ME
AR5,Damascus,Damascus,AR
DAM,Damascus,Damascus,GA
ZWF,Damascus,Damascus,MD
DSC,Damascus,Damascus,OR
D3U,Damascus,Damascus,PA
DMU,Damascus,Damascus,VA
DPT,Dana Point,Dana Point,CA
DAH,Danboro,Danboro,PA
DXR,Danbury,Danbury,CT
DAU,Danbury,Danbury,NH
DUY,Danbury,Danbury,TX
DBZ,Danbury,Danbury,WI
DNY,Danby,Danby,VT
DAX,Dandridge,Dandridge,TN
DNE,Dane,Dane,WI
DS7,Danese,Danese,WV
DV6,Danevang,Danevang,TX
6FT,Danforth,Danforth,ME
DGB,Danger Bay,Danger Bay,AK
DAD,Dania Beach,Dania Beach,FL
DI8,Daniel Island,Daniel Island,SC
DIS,Daniels,Daniels,WV
DSO,Danielson,Danielson,CT
DA4,Danielsville,Danielsville,GA
DNW,Danielsville,Danielsville,PA
DA5,Dannebrog,Dannebrog,NE
NY6,Dansville,Dansville,MI
DSV,Dansville,Dansville,NY
YYS,Danvers,Danvers,IL
DVR,Danvers,Danvers,MA
DV9,Danvers,Danvers,MN
NDJ,Danville,Danville,AL
DZV,Danville,Danville,AR
SXC,Danville,Danville,CA
DQ6,Danville,Danville,GA
DLV,Danville,Danville,IA
DVI,Danville,Danville,IL
DLI,Danville,Danville,IN
DIH,Danville,Danville,KS
DVK,Danville,Danville,KY
DHE,Danville,Danville,NH
DIL,Danville,Danville,NY
AGK,Danville,Danville,OH
DAP,Danville,Danville,PA
DAN,Danville,Danville,VA
7DV,Danville,Danville,VT
AAT,Danville,Danville,WA
DHA,Daphne,Daphne,AL
DXB,Darby,Darby,MT
DBB,Darby,Darby,PA
DAR,Dardanelle,Dardanelle,AR
DAQ,Darien,Darien,CT
DIE,Darien,Darien,GA
DII,Darien,Darien,IL
DDR,Darien,Darien,WI
DIR,Darien Center,Darien Center,NY
DIF,Darlington,Darlington,IN
DIT,Darlington,Darlington,MD
DLP,Darlington,Darlington,PA
DRN,Darlington,Darlington,SC
DGY,Darlington,Darlington,WI
DN3,Darrington,Darrington,WA
DRR,Darrow,Darrow,LA
DQT,Dartmouth,Dartmouth,MA
DA7,Dassel,Dassel,MN
DL3,Dateland,Dateland,AZ
EIP,Dauberville,Dauberville,PA
DI2,Daufuskie Island,Daufuskie Island,SC
DA8,Dauphin,Dauphin,PA
DPD,Dauphin Island,Dauphin Island,AL
DVT,Davant,Davant,LA
DAV,Davenport,Davenport,CA
DVP,Davenport,Davenport,FL
DVN,Davenport,Davenport,IA
9VP,Davenport,Davenport,VA
D3P,Davenport,Davenport,WA
DTY,David City,David City,NE
DAO,Davidson,Davidson,NC
DV2,Davidsonville,Davidsonville,MD
DA3,Davidsville,Davidsville,PA
DVF,Davie,Davie,FL
DVE,Davie,Davie,NC
DAS,Davis,Davis,CA
DVS,Davis,Davis,OK
D2V,Davis,Davis,WV
DJ9,Davis Junction,Davis Junction,IL
DFB,Davis Monthan AFB,Davis Monthan AFB,AZ
DBG,Davisburg,Davisburg,MI
DVO,Davison,Davison,MI
DS9,Daviston,Daviston,AL
DVV,Davisville,Davisville,RI
III,"Davisville, Wood","Davisville, Wood",WV
DA6,Davy,Davy,WV
TDD,Dawn,Dawn,TX
DAW,Dawson,Dawson,GA
DWM,Dawson,Dawson,MN
DSG,Dawson Springs,Dawson Springs,KY
DVX,Dawsonville,Dawsonville,GA
DYC,Days Creek,Days Creek,OR
DT5,Dayton,Dayton,IL
DY2,Dayton,Dayton,KY
JYT,Dayton,Dayton,MN
QYT,Dayton,Dayton,MT
DYT,Dayton,Dayton,NJ
DYJ,Dayton,Dayton,NV
DYD,Dayton,Dayton,NY
DAY,Dayton,Dayton,OH
XET,Dayton,Dayton,OR
D2Y,Dayton,Dayton,PA
DAT,Dayton,Dayton,TN
DTX,Dayton,Dayton,TX
DYV,Dayton,Dayton,VA
DYW,Dayton,Dayton,WA
DAB,Daytona Beach,Daytona Beach,FL
DLK,Dayville,Dayville,CT
IYV,Dayville,Dayville,OR
DQU,De Beque,De Beque,CO
DFO,De Forest,De Forest,WI
DU5,De Funiak Springs,De Funiak Springs,FL
DFN,De Funiak Springs,De Funiak Springs,FL
DEK,De Kalb,De Kalb,IL
DKL,De Kalb,De Kalb,MS
DKB,De Kalb,De Kalb,TX
DLD,De Land,De Land,FL
ZCQ,De Leon,De Leon,TX
DLF,De Leon Springs,De Leon Springs,FL
DRW,De Pere,De Pere,WI
DQZ,De Queen,De Queen,AR
DRI,De Ridder,De Ridder,LA
DNX,De Smet,De Smet,SD
5FR,De Soto,De Soto,IA
OT4,De Soto,De Soto,IL
DZO,De Soto,De Soto,KS
DSQ,De Soto,De Soto,MO
Z2C,De Soto,De Soto,TX
DT4,De Tour Village,De Tour Village,MI
DWA,De Witt,De Witt,AR
DWJ,De Witt,De Witt,IA
DWT,De Witt,De Witt,MI
DWX,De Witt,De Witt,NE
DWN,De Witt,De Witt,NY
DDW,Deadwood,Deadwood,SD
DAF,Deal,Deal,NJ
DEJ,Deans,Deans,NJ
D2E,Deansboro,Deansboro,NY
DEO,Dearborn,Dearborn,MI
DHG,Dearborn Heights,Dearborn Heights,MI
DR4,Dearing,Dearing,GA
DTH,Death Valley,Death Valley,CA
2DE,Deatsville,Deatsville,AL
DB2,DeBary,DeBary,FL
DB6,Debord,Debord,KY
DCU,Decatur,Decatur,AL
DTU,Decatur,Decatur,AR
DCG,Decatur,Decatur,GA
DEC,Decatur,Decatur,IL
DCR,Decatur,Decatur,IN
XEX,Decatur,Decatur,MI
DSU,Decatur,Decatur,NE
DC9,Decatur,Decatur,OH
DTV,Decatur,Decatur,TN
DEU,Decatur,Decatur,TX
DT2,Decatur City,Decatur City,IA
DTR,Decatur Island,Decatur Island,WA
8DV,Decaturville,Decaturville,TN
DCH,Decherd,Decherd,TN
DKR,Decker,Decker,IN
9DP,Decker Prairie,Decker Prairie,TX
DCL,Declo,Declo,ID
DEH,Decorah,Decorah,IA
DED,Dedham,Dedham,MA
WDB,Deep Bay,Deep Bay,AK
E5P,Deep Gap,Deep Gap,NC
DEQ,Deep River,Deep River,CT
DPW,Deepwater,Deepwater,NJ
DE8,Deer,Deer,AR
DR9,Deer Creek,Deer Creek,MN
DGR,Deer Grove,Deer Grove,IL
YUO,Deer Harbor,Deer Harbor,WA
JDS,Deer Island,Deer Island,OR
8DI,Deer Isle,Deer Isle,ME
DLQ,"Deer Lake, Schuylkill","Deer Lake, Schuylkill",PA
DEG,Deer Lodge,Deer Lodge,MT
DL7,Deer Lodge,Deer Lodge,TN
DP5,Deer Park,Deer Park,CA
FJY,Deer Park,Deer Park,IL
5DP,Deer Park,Deer Park,LA
ERP,Deer Park,Deer Park,MD
DPK,Deer Park,Deer Park,NY
XFA,Deer Park,Deer Park,OH
DPC,Deer Park,Deer Park,PA
DEX,Deer Park,Deer Park,TX
DP2,"Deer Park, Camden","Deer Park, Camden",NJ
DMT,Deer River,Deer River,MN
6DB,Deerbrook,Deerbrook,WI
DRD,Deerfield,Deerfield,IL
DDE,Deerfield,Deerfield,MA
DLZ,Deerfield,Deerfield,MI
DFM,Deerfield,Deerfield,MO
DFE,Deerfield,Deerfield,NH
DJ3,Deerfield,Deerfield,NJ
DFL,Deerfield,Deerfield,OH
DFD,Deerfield,Deerfield,WI
DEE,Deerfield Beach,Deerfield Beach,FL
DRG,Deering,Deering,AK
DPA,Deerpark,Deerpark,FL
DWD,Deerwood,Deerwood,MN
DFX,Defense,Defense,TX
DEF,Deferiet,Deferiet,NY
DFA,Defiance,Defiance,IA
DFC,Defiance,Defiance,MO
DFI,Defiance,Defiance,OH
DCB,DeKalb,DeKalb,IL
DBA,Del Bonita,Del Bonita,MT
D2C,Del City,Del City,OK
DMA,Del Mar,Del Mar,CA
DM2,"Del Mar, San Diego","Del Mar, San Diego",CA
DN2,Del Norte,Del Norte,CO
DLY,Del Rey,Del Rey,CA
EKS,Del Rey Oaks,Del Rey Oaks,CA
DRZ,Del Rio,Del Rio,TN
DRT,Del Rio,Del Rio,TX
DVM,Del Valle,Del Valle,TX
DFZ,Delafield,Delafield,WI
DLA,Delair,Delair,NJ
DLJ,Delanco,Delanco,NJ
DD5,Deland,Deland,FL
DNO,Delano,Delano,CA
DOX,Delano,Delano,MN
DLU,Delano,Delano,PA
DOQ,Delano,Delano,TN
D2L,Delanson,Delanson,NY
DPX,Delaplane,Delaplane,VA
D9E,Delavan,Delavan,IL
DEA,Delavan,Delavan,WI
D3W,Delaware,Delaware,NJ
DEL,Delaware,Delaware,OH
DCI,Delaware City,Delaware City,DE
DWG,Delaware Water Gap,Delaware Water Gap,PA
VV7,Delbarton,Delbarton,WV
DON,DeLeon,DeLeon,TX
DVA,Delevan,Delevan,NY
DHI,Delhi,Delhi,IA
DHX,Delhi,Delhi,LA
YDP,Delhi,Delhi,NY
DIJ,Delhi,Delhi,OH
DLE,Delisle,Delisle,MS
LLR,Dell,Dell,AR
DL8,Dell,Dell,MT
DC4,Dell City,Dell City,TX
DQY,Dellroy,Dellroy,OH
DM3,Delmar,Delmar,DE
DMM,Delmar,Delmar,MD
DVQ,Delmont,Delmont,PA
DJI,Deloit,Deloit,IA
DEI,Delphi,Delphi,IN
DEP,Delphos,Delphos,OH
DRJ,Delran,Delran,NJ
DYB,Delray,Delray,WV
DEY,Delray Beach,Delray Beach,FL
AL5,Delta,Delta,AL
DTC,Delta,Delta,CO
DA2,Delta,Delta,OH
DT9,Delta,Delta,PA
DTA,Delta,Delta,UT
DJN,Delta Junction,Delta Junction,AK
DN5,Delton,Delton,MI
DLT,Deltona,Deltona,FL
DM8,Demarest,Demarest,NJ
DMN,Deming,Deming,NM
DPM,Deming,Deming,WA
DMP,Demopolis,Demopolis,AL
OSQ,Demorest,Demorest,GA
EYY,DeMotte,DeMotte,IN
YDI,Denair,Denair,CA
DNI,Denali,Denali,AK
D4D,Denaud,Denaud,FL
FT3,Dendron,Dendron,VA
DQQ,Denham,Denham,IN
DNM,Denham Springs,Denham Springs,LA
DHF,Denhoff,Denhoff,ND
DNS,Denison,Denison,IA
DSZ,Denison,Denison,TX
D8E,Denmark,Denmark,ME
ZC2,Denmark,Denmark,NY
DMK,Denmark,Denmark,SC
DXS,Denmark,Denmark,WI
DJS,Dennis,Dennis,MA
D2N,Dennis,Dennis,TX
OH6,Dennison,Dennison,OH
DJV,Dennisville,Dennisville,NJ
8NY,Dennysville,Dennysville,ME
DTO,Denton,Denton,GA
ZDN,Denton,Denton,MD
DTE,Denton,Denton,MT
ENT,Denton,Denton,NC
DTQ,Denton,Denton,NE
DTN,Denton,Denton,TX
DE7,Dentonville,Dentonville,OK
DEN,Denver,Denver,CO
DTZ,Denver,Denver,MO
DID,Denver,Denver,NC
DAJ,Denver,Denver,NY
DNQ,Denver,Denver,PA
DVC,Denver City,Denver City,TX
DNL,Denville,Denville,NJ
D9N,Depauw,Depauw,IN
DPE,Depew,Depew,NY
DPO,Deport,Deport,TX
DPI,Deposit,Deposit,NY
DPF,Deptford,Deptford,NJ
DWB,Deptford Township,Deptford Township,NJ
DE5,Depue,Depue,IL
QDQ,DeQuincy,DeQuincy,LA
DCT,Derby,Derby,CT
DPB,Derby,Derby,KS
8DB,Derby,Derby,KY
DPY,Derby,Derby,ME
ERB,Derby,Derby,NY
JYY,Derby,Derby,VT
DBX,Derby Center,Derby Center,VT
DBY,Derby Line,Derby Line,VT
DE3,Deridder,Deridder,LA
DIM,Derma,Derma,MS
DEM,Dermott,Dermott,AR
DNP,Derry,Derry,NH
QDR,Derry,Derry,PA
DR5,Deruyter,Deruyter,NY
DW2,Derwood,Derwood,MD
DA9,Des Arc,Des Arc,AR
DSM,Des Moines,Des Moines,IA
DSN,Des Moines,Des Moines,WA
DPR,Des Peres,Des Peres,MO
DES,Des Plaines,Des Plaines,IL
DJC,Descanso,Descanso,CA
DTJ,Desert Center,Desert Center,CA
DDH,Desert Hills,Desert Hills,AZ
DHS,Desert Hot Springs,Desert Hot Springs,CA
DE2,Desha,Desha,AR
DSR,Deshler,Deshler,NE
DSH,Deshler,Deshler,OH
DOT,DeSoto,DeSoto,TX
DSI,Destin,Destin,FL
NEW,Destrehan,Destrehan,LA
VOU,Detour,Detour,MD
7AL,Detroit,Detroit,AL
DTT,Detroit,Detroit,IL
DT7,Detroit,Detroit,ME
DET,Detroit,Detroit,MI
ZC3,Detroit,Detroit,TX
DTL,Detroit Lakes,Detroit Lakes,MN
VNS,Devens,Devens,MA
QDV,Devenscrest,Devenscrest,MA
DVL,Devils Lake,Devils Lake,ND
DVD,Devine,Devine,TX
DEV,Devon,Devon,PA
DE9,Dewey,Dewey,AZ
DWO,Dewey,Dewey,OK
YVC,Deweyville,Deweyville,UT
DWW,Dewitt,Dewitt,IA
DEZ,Dewitt,Dewitt,IL
DEW,Dewitt,Dewitt,NY
VW2,DeWitt,DeWitt,VA
DTI,Dewittville,Dewittville,NY
DWE,Dewy Rose,Dewy Rose,GA
DXP,Dexter,Dexter,KS
XFB,Dexter,Dexter,ME
YDX,Dexter,Dexter,MI
DXE,Dexter,Dexter,MO
DXI,Dexter,Dexter,NM
DXT,Dexter,Dexter,NY
XXT,Dexter,Dexter,OH
DX2,Dexter City,Dexter City,OH
DHC,D'Hanis,D'Hanis,TX
IOG,Di Giorgio,Di Giorgio,CA
DB7,Diablo,Diablo,CA
DMD,Diamond,Diamond,MO
DD7,Diamond,Diamond,WA
DBR,Diamond Bar,Diamond Bar,CA
2DK,Diamond Lake,Diamond Lake,IL
DXG,Diamond Springs,Diamond Springs,CA
DD4,Diamondhead,Diamondhead,MS
DM4,Diamondville,Diamondville,WY
DBE,Diberville,Diberville,MS
DIB,Diboll,Diboll,TX
Y99,Dickeyville,Dickeyville,WI
DIK,Dickinson,Dickinson,ND
DSX,Dickinson,Dickinson,TX
ZKN,Dickson,Dickson,TN
DSY,Dickson City,Dickson City,PA
DKS,Dierks,Dierks,AR
D2H,Dieterich,Dieterich,IL
D3G,Diggs,Diggs,VA
DGT,Dighton,Dighton,MA
DKE,Dike,Dike,IA
DCY,Dill City,Dill City,OK
DY3,Dilley,Dilley,TX
DLG,Dillingham,Dillingham,AK
4DI,Dillon,Dillon,CO
8DL,Dillon,Dillon,GA
DLN,Dillon,Dillon,MT
DLL,Dillon,Dillon,SC
DO3,Dillsboro,Dillsboro,IN
DMG,Dillsburg,Dillsburg,PA
UFP,Dillwyn,Dillwyn,VA
DWH,Dilworth,Dilworth,MN
DW7,Dilworth,Dilworth,TX
DB3,Dime Box,Dime Box,TX
3DT,Dimmitt,Dimmitt,TX
DML,Dimondale,Dimondale,MI
DFP,Dingmans Ferry,Dingmans Ferry,PA
DIU,Dinuba,Dinuba,CA
D3D,Dinwiddie,Dinwiddie,VA
DIO,Diomede Island,Diomede Island,AK
DG9,Dirggs,Dirggs,ID
DYY,Discovery Bay,Discovery Bay,CA
DPV,Disputanta,Disputanta,VA
JHO,District Heights,District Heights,MD
4DV,Divernon,Divernon,IL
DV5,Divide,Divide,CO
7DI,Dix,Dix,IL
YIX,Dix,Dix,NE
DI7,Dix Hills,Dix Hills,NY
DXF,Dixfield,Dixfield,ME
IXE,Dixie,Dixie,GA
EXX,Dixie,Dixie,LA
D9I,Dixmont,Dixmont,ME
DMR,Dixmoor,Dixmoor,IL
DXC,Dixon,Dixon,CA
DXN,Dixon,Dixon,IL
KDX,Dixon,Dixon,KY
DIQ,Dixon,Dixon,MO
3DX,Dixville Notch,Dixville Notch,NH
DB4,Dobbins,Dobbins,CA
DBF,Dobbs Ferry,Dobbs Ferry,NY
DOB,Dobson,Dobson,NC
DDG,Dodge,Dodge,NE
XEU,Dodge Center,Dodge Center,MN
DDC,Dodge City,Dodge City,KS
DDV,Dodgeville,Dodgeville,WI
DS4,Dodson,Dodson,LA
DOE,Doe Run,Doe Run,KY
DU9,Doerun,Doerun,GA
QDY,Dolgeville,Dolgeville,NY
DXY,Dollar Bay,Dollar Bay,MI
DLO,Dolomi,Dolomi,AK
DOL,Dolomite,Dolomite,AL
ZDE,Dolores,Dolores,CO
DQN,Dolton,Dolton,IL
DMZ,Dominguez,Dominguez,CA
DIZ,Dominguez Hills,Dominguez Hills,CA
DX3,Domino,Domino,TX
DXO,Donald,Donald,OR
DDS,Donalds,Donalds,SC
DD8,Donaldson,Donaldson,MN
DNA,Donaldsonville,Donaldsonville,LA
DSL,Donalsonville,Donalsonville,GA
DCZ,Donegal,Donegal,PA
DNG,Dongola,Dongola,IL
DPH,Doniphan,Doniphan,MO
DNH,Doniphan,Doniphan,NE
XEY,Donna,Donna,TX
DL9,Donnellson,Donnellson,IA
DYX,Donnelly,Donnelly,AK
DL2,Donnelly,Donnelly,ID
DRP,Donora,Donora,PA
ZDV,Donovan,Donovan,IL
QDO,Doon,Doon,IA
DO6,Dora,Dora,AL
DJO,Dora,Dora,NM
DOF,Dora Bay,Dora Bay,AK
PDQ,Doral,Doral,FL
DRH,Doraville,Doraville,GA
DQH,Dorchester,Dorchester,IL
DZM,Dorchester,Dorchester,MA
DC5,Dorchester,Dorchester,SC
DCS,Dorchester,Dorchester,WI
DDD,Dorr,Dorr,MI
DNC,Dorrance,Dorrance,KS
DT3,Dorset,Dorset,VT
DRS,Dorsey,Dorsey,MD
D2S,Dos Palos,Dos Palos,CA
DOS,Doswell,Doswell,VA
DHN,Dothan,Dothan,AL
DMB,Double Springs,Double Springs,AL
DGZ,Douglas,Douglas,AR
DUG,Douglas,Douglas,AZ
DOU,Douglas,Douglas,GA
3DL,Douglas,Douglas,IL
DOG,"Douglas, Allegan","Douglas, Allegan",MI
DGW,Douglas/Converse,Douglas/Converse,WY
UGW,Douglass,Douglass,KS
DGL,Douglassville,Douglassville,PA
DGS,Douglaston/Queens/New York,Douglaston/Queens/New York,NY
DGV,Douglasville,Douglasville,GA
DO2,Dousman,Dousman,WI
DC7,Dove Creek,Dove Creek,CO
XEZ,Dover,Dover,DE
DOR,Dover,Dover,FL
DO5,Dover,Dover,GA
DER,Dover,Dover,IL
DQV,Dover,Dover,KY
AOV,Dover,Dover,MA
D9V,Dover,Dover,MN
DRV,Dover,Dover,NH
DVJ,Dover,Dover,NJ
DOO,Dover,Dover,OH
OER,Dover,Dover,OK
DR2,Dover,Dover,PA
DZR,Dover,Dover,TN
8FX,Dover Foxcroft,Dover Foxcroft,ME
VOI,Dover Plains,Dover Plains,NY
DOV,Dover-Cheswold,Dover-Cheswold,DE
DOW,Dowagiac,Dowagiac,MI
3DW,Dowling,Dowling,TX
UFO,Downers Grove,Downers Grove,IL
JDY,Downey,Downey,CA
DWZ,Downey,Downey,PA
DYH,Downieville,Downieville,CA
DN7,Downing,Downing,MO
DOI,Downing,Downing,WI
DNT,Downingtown,Downingtown,PA
4DO,Downs,Downs,IL
DQW,Downs,Downs,KS
DV8,Downsville,Downsville,LA
DWQ,Downsville,Downsville,NY
DXV,Downsville,Downsville,WI
DOY,Doyle,Doyle,CA
XFC,Doyle,Doyle,TN
DYL,Doylestown,Doylestown,PA
XEV,Dracut,Dracut,MA
DNR,Drain,Drain,OR
DK2,Drake,Drake,AZ
DSB,Drakesboro,Drakesboro,KY
DRK,Draper,Draper,AR
DRQ,Draper,Draper,UT
D2P,Draper,Draper,VA
DVB,Dravosburg,Dravosburg,PA
D2D,Drayden,Drayden,MD
DY9,Drayton,Drayton,ND
DMI,Drayton Plains,Drayton Plains,MI
D3N,Drennen,Drennen,WV
D2R,Dresden,Dresden,ME
2DD,Dresden,Dresden,MO
AAU,Dresden,Dresden,NY
DSD,Dresden,Dresden,TN
DR8,Dresden,Dresden,TX
DRC,Dresher,Dresher,PA
DSW,Dresser,Dresser,WI
DRM,Drew,Drew,MS
DRL,Drexel,Drexel,MO
DRX,Drexel,Drexel,NC
DRF,Drift River,Drift River,AK
DBW,Driftwood,Driftwood,TX
DGX,Driggs,Driggs,ID
TDS,Dripping Springs,Dripping Springs,TX
DRU,Drummond,Drummond,MT
DRE,Drummond Island,Drummond Island,MI
DH3,Drumright,Drumright,OK
UMS,Drums,Drums,PA
DRY,Dry Branch,Dry Branch,GA
DFK,"Dry Fork, Pittsylvania","Dry Fork, Pittsylvania",VA
DDJ,Dry Ridge,Dry Ridge,KY
YDA,Dryden,Dryden,MI
D8Y,Dryden,Dryden,NY
DYN,Dryden,Dryden,TX
DR3,Drytown,Drytown,CA
DU4,Du Bois,Du Bois,PA
ABX,Du Pont,Du Pont,WA
DUU,Du Quoin,Du Quoin,IL
5DB,Duanesburg,Duanesburg,NY
URT,Duart,Duart,NC
DUB,Duarte,Duarte,CA
DQB,Dublin,Dublin,CA
DBN,Dublin,Dublin,GA
6UB,Dublin,Dublin,MS
7DB,Dublin,Dublin,NC
DZI,Dublin,Dublin,NH
DUO,Dublin,Dublin,OH
DUI,Dublin,Dublin,PA
DBL,Dublin,Dublin,TX
PSK,Dublin,Dublin,VA
DBS,Dubois,Dubois,ID
DB5,Dubois,Dubois,IL
DBI,Dubois,Dubois,IN
DUJ,Dubois,Dubois,PA
DBV,Dubois,Dubois,WY
DBQ,Dubuque,Dubuque,IA
DUF,Duck,Duck,NC
DC3,Ducktown,Ducktown,TN
DCO,Ducor,Ducor,CA
DKU,Dudley,Dudley,MA
UD4,Dudley,Dudley,MO
DHU,Dudley,Dudley,NC
D2G,Duenweg,Duenweg,MO
DUD,Duffield,Duffield,VA
DU2,Dufur,Dufur,OR
DG2,Dugspur,Dugspur,VA
DPG,Dugway,Dugway,UT
DUK,Duke,Duke,OK
LLH,Dulles,Dulles,VA
IAD,Dulles Int Apt/Washington,Dulles Int Apt/Washington,VA
DGA,Duluth,Duluth,GA
DLH,Duluth,Duluth,MN
DZU,Dulzura,Dulzura,CA
DMS,Dumas,Dumas,AR
DS2,Dumas,Dumas,MS
DUX,Dumas,Dumas,TX
DFS,Dumfries,Dumfries,VA
DMJ,Dumont,Dumont,NJ
DB8,Dunbar,Dunbar,PA
DBJ,Dunbar,Dunbar,WI
DWV,Dunbar,Dunbar,WV
DUE,Dunbridge,Dunbridge,OH
D7C,Duncan,Duncan,NE
DUC,Duncan,Duncan,OK
DNK,Duncan,Duncan,SC
ZC4,Duncan Falls,Duncan Falls,OH
DMX,Duncans Mills,Duncans Mills,CA
DUV,Duncansville,Duncansville,PA
DV3,Duncanville,Duncanville,TX
DU7,Duncombe,Duncombe,IA
DDQ,Dundalk,Dundalk,MD
UDS,Dundas,Dundas,MN
DYU,Dundee,Dundee,FL
DYI,Dundee,Dundee,IL
DND,Dundee,Dundee,MI
DYK,Dundee,Dundee,NY
DE4,Dundee,Dundee,OH
UEZ,Dundee,Dundee,OR
DNB,Dunedin,Dunedin,FL
DUL,Dunellen,Dunellen,NJ
DKD,Dunkirk,Dunkirk,IN
K44,Dunkirk,Dunkirk,MD
DKK,Dunkirk,Dunkirk,NY
DKI,Dunkirk,Dunkirk,OH
DZP,Dunlap,Dunlap,IA
DJR,Dunlap,Dunlap,IL
ULJ,Dunlap,Dunlap,IN
UNL,Dunlap,Dunlap,TN
DNZ,Dunmore,Dunmore,PA
DU3,Dunmore,Dunmore,WV
DUZ,Dunn,Dunn,NC
DUM,Dunn,Dunn,SC
DFU,Dunnellon,Dunnellon,FL
DIG,Dunnigan,Dunnigan,CA
DNV,Dunnville,Dunnville,KY
DUN,Dunseith,Dunseith,ND
DSE,Dunstable,Dunstable,MA
DW3,Dunwoody,Dunwoody,GA
DUP,Dupo,Dupo,IL
DPN,Dupont,Dupont,CO
PUD,Dupont,Dupont,PA
PUP,Dupont,Dupont,WA
ZDQ,Duquesne,Duquesne,PA
DUQ,Duquoin,Duquoin,IL
DDI,Durand,Durand,IL
RUD,Durand,Durand,MI
DXD,Durand,Durand,WI
DRO,Durango,Durango,CO
D3F,Durant,Durant,FL
D2U,Durant,Durant,IA
URA,Durant,Durant,MS
DUA,Durant,Durant,OK
DJB,Durbin,Durbin,ND
DUW,Durbin,Durbin,WV
DH8,Durham,Durham,CA
DHQ,Durham,Durham,CT
R9D,Durham,Durham,KS
8DU,Durham,Durham,ME
DUR,Durham,Durham,NC
DH2,Durham,Durham,NH
DHH,Durham,Durham,OR
DXH,Durham,Durham,PA
RDU,Durham-Raleigh Apt,Durham-Raleigh Apt,NC
UEE,Durkee,Durkee,OR
DYA,Duryea,Duryea,PA
DUS,Dushore,Dushore,PA
DUT,Dutch Harbor,Dutch Harbor,AK
ZDU,Dutton,Dutton,AL
DU8,Dutton,Dutton,MI
ZDZ,Dutzow,Dutzow,MO
DZA,Duvall,Duvall,WA
DUH,Duxbury,Duxbury,MA
DWI,Dwight,Dwight,IL
DVG,Dwight,Dwight,ND
DYQ,Dyer,Dyer,IN
YEX,Dyer,Dyer,NV
DYS,Dyer,Dyer,TN
DYR,Dyersburg,Dyersburg,TN
DYE,Dyersville,Dyersville,IA
DZY,Dysart,Dysart,IA
XED,Eads,Eads,TN
UFS,Eagan,Eagan,MN
E4G,Eagar,Eagar,AZ
EAA,Eagle,Eagle,AK
EG3,Eagle,Eagle,CO
G9L,Eagle,Eagle,ID
EEJ,Eagle,Eagle,NE
EGL,Eagle,Eagle,PA
XXP,Eagle,Eagle,WI
DMQ,Eagle Bridge,Eagle Bridge,NY
EB8,Eagle Butte,Eagle Butte,SD
E3C,Eagle Creek,Eagle Creek,OR
EGF,Eagle Grove,Eagle Grove,IA
5EL,Eagle Lake,Eagle Lake,FL
9EL,Eagle Lake,Eagle Lake,ME
ELA,Eagle Lake,Eagle Lake,TX
3GL,Eagle Mountain,Eagle Mountain,UT
EGP,Eagle Pass,Eagle Pass,TX
EAG,Eagle Point,Eagle Point,NJ
E3P,Eagle Point,Eagle Point,OR
ERQ,Eagle River,Eagle River,AK
EGV,Eagle River,Eagle River,WI
EGR,Eagle Rock,Eagle Rock,CA
YGK,Eagle Rock,Eagle Rock,MO
ER3,"Eagle Rock, Botetourt","Eagle Rock, Botetourt",VA
E8S,Eagle Springs,Eagle Springs,NC
YEA,"Eagle, Ada","Eagle, Ada",ID
E33,Eagles Mere,Eagles Mere,PA
EGJ,Eagleville,Eagleville,MO
EAV,Eagleville,Eagleville,PA
E2G,Eagleville,Eagleville,TN
QEY,Eakly,Eakly,OK
ERE,Earl,Earl,NC
EPA,Earl Park,Earl Park,IN
EAM,Earle,Earle,AR
EAE,Earle,Earle,NJ
M9D,Earleville,Earleville,MD
5EM,Earlham,Earlham,IA
EYM,Earlimart,Earlimart,CA
E2I,Earling,Earling,IA
QEO,Earlington,Earlington,KY
QEV,Earlville,Earlville,IA
8EV,Earlville,Earlville,IL
34L,Early,Early,TX
EYB,Early Branch,Early Branch,SC
3VA,Earlysville,Earlysville,VA
ETC,Earth City,Earth City,MO
EAL,Easley,Easley,SC
EBU,East Alburg,East Alburg,VT
EOL,East Alton,East Alton,IL
E7T,East Amherst,East Amherst,NY
EAO,East Aurora,East Aurora,NY
EGB,East Bangor,East Bangor,PA
EBD,East Bend,East Bend,NC
AAV,East Berlin,East Berlin,CT
EBL,East Berlin,East Berlin,PA
TBE,East Bernard,East Bernard,TX
ETD,East Bernstadt,East Bernstadt,KY
ZTB,East Bloomfield,East Bloomfield,NY
EXJ,East Boothbay,East Boothbay,ME
EBN,East Boston,East Boston,MA
D4B,East Branch,East Branch,NY
EBC,East Bridgeport,East Bridgeport,CT
EAB,East Bridgewater,East Bridgewater,MA
EBQ,East Brookfield,East Brookfield,MA
